ADGRF3 Q8IZF5
ADGRF4 Q8IZF3
ADGRF5 Q8IZF2
ADGRG1 Q9Y653
ADGRG2 Q8IZP9
ADGRG3 Q86Y34
ADGRG4 Q8IZF6
ADGRG6 Q86SQ4
ADGRG7 Q96K78
ADGRL1 O94910
ADGRL2 O95490
ADGRL3 Q9HAR2
ADGRL4 Q9HBW9
ADGRV1 Q8WXG9
ADH1B P00325
ADH1C P00326
ADH4 P08319
ADH5 P11766
ADH6 P28332
ADH7 P40394
ADHFE1 Q8IWW8
ADIPOQ Q15848
ADIPOR2 Q86V24
ADK P55263
ADM P35318
ADNP Q9H2P0
ADO Q96SZ5
ADORA1 P30542
ADORA2A P29274
ADORA3 P0DMS8
ADPGK Q9BRR6
ADPRHL1 Q8NDY3
ADPRM Q3LIE5
ADPRS Q9NX46
ADRA1A P35348
ADRA1B P35368
ADRA2A P08913
ADRA2B P18089
ADRB1 P08588
ADRB2 P07550
ADRB3 P13945
ADSL P30566
ADSS1 Q8N142
ADSS2 P30520
ADTRP Q96IZ2
AEBP1 Q8IUX7
AEN Q8WTP8
AFAP1 Q8N556
AFAP1L2 Q8N4X5
AFF1 P51825
AFF2 P51816
AFF3 P51826
AFF4 Q9UHB7
AFG3L2 Q9Y4W6
AFM P43652
AFP P02771
AFTPH Q6ULP2
AGA P20933
AGAP1 Q9UPQ3
AGAP11 Q8TF27
AGAP2 Q99490
AGAP4 Q96P64
AGBL1 Q96MI9
AGBL2 Q5U5Z8
AGBL3 Q8NEM8
AGBL4 Q5VU57
AGBL5 Q8NDL9
AGER Q15109
AGFG2 O95081
AGGF1 Q8N302
AGK Q53H12
AGL P35573
AGMAT Q9BSE5
AGMO Q6ZNB7
AGO1 Q9UL18
AGPAT1 Q99943
AGPAT2 O15120
AGPAT5 Q9NUQ2
AGPS O00116
AGRN O00468
AGRP O00253
AGT P01019
AGTPBP1 Q9UPW5
AGTR1 P30556
AGTR2 P50052
AGTRAP Q6RW13
AGXT P21549
AGXT2 Q9BYV1
AHCTF1 Q8WYP5
AHCY P23526
AHDC1 Q5TGY3
AHI1 Q8N157
AHNAK Q09666
AHNAK2 Q8IVF2
AHR P35869
AHRR A9YTQ3
AHSA2P Q719I0
AHSG P02765
AHSP Q9NZD4
AICDA Q9GZX7
AIF1 P55008
AIFM1 O95831
AIFM2 Q9BRQ8
AIFM3 Q96NN9
AIG1 Q9NVV5
AIM2 O14862
AIMP1 Q12904
AIMP2 Q13155
AIP O00170
AIPL1 Q9NZN9
AIRE O43918
AJAP1 Q9UKB5
AK1 P00568
AK2 P54819
AK5 Q9Y6K8
AK7 Q96M32
AK8 Q96MA6
AKAP1 Q92667
AKAP10 O43572
AKAP11 Q9UKA4
AKAP12 Q02952
AKAP13 Q12802
AKAP17A Q02040
AKAP2 Q9Y2D5
AKAP3 O75969
AKAP4 Q5JQC9
AKAP5 P24588
AKAP6 Q13023
AKAP7 Q9P0M2
AKAP8 O43823
AKAP8L Q9ULX6
AKAP9 Q99996
AKIP1 Q9NQ31
AKNA Q7Z591
AKNAD1 Q5T1N1
AKR1A1 P14550
AKR1B1 P15121
AKR1B10 O60218
AKR1C1 Q04828
AKR1C2 P52895
AKR1C3 P42330
AKR1C4 P17516
AKR1C8P Q5T2L2
AKR1D1 P51857
AKR1E2 Q96JD6
AKR7A2 O43488
AKR7A3 O95154
AKR7L Q8NHP1
AKT1 P31749
AKT1S1 Q96B36
AKT2 P31751
AKT3 Q9Y243
ALAD P13716
ALAS2 P22557
ALB P02768
ALCAM Q13740
ALDH16A1 Q8IZ83
ALDH18A1 P54886
ALDH1A1 P00352
ALDH1A2 O94788
ALDH1A3 P47895
ALDH1B1 P30837
ALDH1L1 O75891
ALDH2 P05091
ALDH3A1 P30838
ALDH3A2 P51648
ALDH3B2 P48448
ALDH4A1 P30038
ALDH5A1 P51649
ALDH6A1 Q02252
ALDH7A1 P49419
ALDH8A1 Q9H2A2
ALDH9A1 P49189
ALDOA P04075
ALDOB P05062
ALG1 Q9BT22
ALG10B Q5I7T1
ALG11 Q2TAA5
ALG12 Q9BV10
ALG13 Q9NP73
ALG14 Q96F25
ALG1L Q6GMV1
ALG2 Q9H553
ALG3 Q92685
ALG6 Q9Y672
ALG8 Q9BVK2
ALG9 Q9H6U8
ALK Q9UM73
ALKBH1 Q13686
ALKBH2 Q6NS38
ALKBH3 Q96Q83
ALKBH4 Q9NXW9
ALKBH7 Q9BT30
ALMS1 Q8TCU4
ALOX12 P18054
ALOX12B O75342
ALOX15 P16050
ALOX15B O15296
ALOX5 P09917
ALOXE3 Q9BYJ1
ALPG P10696
ALPI P09923
ALPK1 Q96QP1
ALPK2 Q86TB3
ALPK3 Q96L96
ALPL P05186
ALPP P05187
ALS2 Q96Q42
ALS2CL Q60I27
ALX3 O95076
ALX4 Q9H161
AMACR Q9UHK6
AMBN Q9NP70
AMDHD1 Q96NU7
AMDHD2 Q9Y303
AMELX Q99217
AMER1 Q5JTC6
AMER2 Q8N7J2
AMER3 Q8N944
AMFR Q9UKV5
AMH P03971
AMHR2 Q16671
AMMECR1 Q9Y4X0
AMN Q9BXJ7
AMOTL1 Q8IY63
AMOTL2 Q9Y2J4
AMPD1 P23109
AMPD2 Q01433
AMPD3 Q01432
AMPH P49418
AMT P48728
AMTN Q6UX39
AMZ1 Q400G9
AMZ2 Q86W34
ANAPC10 Q9UM13
ANAPC4 Q9UJX5
ANAPC5 Q9UJX4
ANG P03950
ANGEL1 Q9UNK9
ANGEL2 Q5VTE6
ANGPT1 Q15389
ANGPT2 O15123
ANGPT4 Q9Y264
ANGPTL3 Q9Y5C1
ANGPTL4 Q9BY76
ANGPTL5 Q86XS5
ANGPTL7 O43827
ANGPTL8 Q6UXH0
ANK1 P16157
ANK2 Q01484
ANK3 Q12955
ANKAR Q7Z5J8
ANKDD1A Q495B1
ANKEF1 Q9NU02
ANKFN1 Q8N957
ANKH Q9HCJ1
ANKHD1 Q8IWZ3
ANKIB1 Q9P2G1
ANKK1 Q8NFD2
ANKLE1 Q8NAG6
ANKLE2 Q86XL3
ANKMY1 Q9P2S6
ANKRD1 Q15327
ANKRD10 Q9NXR5
ANKRD11 Q6UB99
ANKRD12 Q6UB98
ANKRD13A Q8IZ07
ANKRD13C Q8N6S4
ANKRD16 Q6P6B7
ANKRD17 O75179
ANKRD18A Q8IVF6
ANKRD2 Q9GZV1
ANKRD22 Q5VYY1
ANKRD24 Q8TF21
ANKRD26 Q9UPS8
ANKRD26P1 Q6NSI1
ANKRD27 Q96NW4
ANKRD29 Q8N6D5
ANKRD30A Q9BXX3
ANKRD30B Q9BXX2
ANKRD31 Q8N7Z5
ANKRD33 Q7Z3H0
ANKRD34B A5PLL1
ANKRD34C P0C6C1
ANKRD35 Q8N283
ANKRD36B Q8N2N9
ANKRD37 Q7Z713
ANKRD39 Q53RE8
ANKRD42 Q8N9B4
ANKRD53 Q8N9V6
ANKRD55 Q3KP44
ANKRD6 Q9Y2G4
ANKRD60 Q9BZ19
ANKRD62 A6NC57
ANKS1A Q92625
ANKS3 Q6ZW76
ANKS6 Q68DC2
ANKUB1 A6NFN9
ANKZF1 Q9H8Y5
ANLN Q9NQW6
ANO1 Q5XXA6
ANO10 Q9NW15
ANO2 Q9NQ90
ANO3 Q9BYT9
ANO4 Q32M45
ANO5 Q75V66
ANO6 Q4KMQ2
ANO7 Q6IWH7
ANO9 A1A5B4
ANOS1 P23352
ANP32C O43423
ANP32D O95626
ANPEP P15144
ANTXR1 Q9H6X2
ANTXR2 P58335
ANTXRL A6NF34
ANXA10 Q9UJ72
ANXA11 P50995
ANXA13 P27216
ANXA2 P07355
ANXA2R Q3ZCQ2
ANXA3 P12429
ANXA4 P09525
ANXA7 P20073
ANXA8 P13928
ANXA8L1 Q5VT79
ANXA9 O76027
